activity,encoded_value
add,0
address,1
aio,2
benchmark,3
bug,4
build,5
bump,6
check,7
chore,8
ci,9
cleanup,10
code,11
condition,12
configure,13
consolidated,14
copy,15
design,16
developer.md,17
docs,18
don't,19
edit,20
example,21
examples,22
feat,23
filetree,24
finished,25
first,26
fix,27
form,28
format,29
include,30
initial,31
keep,32
make,33
merge,34
misc,35
more,36
moved,37
patch,38
perf,39
produce,40
read,41
readme,42
refactor,43
release,44
remove,45
rendererv2,46
repackaging,47
replaced,48
resolve,49
revert,50
roll,51
router,52
squash,53
squash-me,54
style,55
table,56
temporary,57
test,58
text,59
tools,60
transpiler,61
tweak,62
typo,63
update,64
use,65
wip,66
